tau1,tau2
0.7146739200845174,0.0
9.999999999999863,0.0
0.7137601899383275,0.045360794896321485
9.941996909302102,0.6318324964322843
0.7110131080695399,0.09073890535069548
9.768831631546961,1.2466902209559898
0.7064147631425026,0.1361502859952727
9.483022807551041,1.827702837925141
0.6999345043000055,0.18160791130763798
9.088726965127146,2.3581988178063527
0.6915279741510576,0.2271196887705887
8.591690736461812,2.8217833537014725
0.6811428678982383,0.2726884696632392
7.999223850658241,3.202406151679124
0.6687318298542602,0.31831774328932844
7.320272293991982,3.48446485251756
0.654248972604686,0.3640143523865905
6.5657934242408595,3.653109353330687
0.6375947450732232,0.4097572619061505
5.749948720458077,3.695267663357382
0.61861811500931,0.45547886813851285
4.89334711058293,3.6028951452603875
0.5971910515657738,0.5011027911112128
4.030402476287648,3.3819092313489616
0.5731480982053524,0.5464956078036248
3.2188913230584024,3.0692066772214024
0.5462629855639446,0.5914144345041185
2.529651568065083,2.7387402975421624
0.5163132982905616,0.6355293726500376
1.9999108579133453,2.4616876944556147
0.4832759113876953,0.6786660569436865
1.6071338042295147,2.2569036366109305
0.44719482751267703,0.7207406326587683
1.309217163136969,2.110055726036562
0.40791856350266403,0.7613449330666634
1.0726802737181425,2.002065520586527
0.36568084703131587,0.8007293625339336
0.8765982737956141,1.9194824740563958
0.3201293968147845,0.8379370593479392
0.7084053235225918,1.8542473122591159
0.27109137015807905,0.8718356115301722
0.5602060165153141,1.8016344626046559
0.2187227531602249,0.9015874682220965
0.4269008211386804,1.759709152117373
0.16328958551738637,0.9260612576776642
0.30458131700275576,1.7273664857129463
0.10528777491100978,0.9440701909409625
0.1901077804121277,1.7046146972403398
0.045468498071607175,0.9545012406325187
0.08058908547332543,1.691773102876328
-0.01517970330797526,0.9566259422646443
-0.026803894207556484,1.6891832490028895
-0.0755481105803514,0.9502906731200027
-0.1349059907523019,1.6969306548517196
-0.13456915855502083,0.9359490561191766
-0.24654738334371598,1.7147747166365421
-0.19136366405257604,0.9145562703635409
-0.3645747432872821,1.7423585566273216
-0.24531220294369946,0.8873001062737886
-0.4919597430350165,1.7794301589537265
-0.29603523208391047,0.8553376302899456
-0.632154747920396,1.8264911924723461
-0.3433522418624963,0.8197137574963348
-0.7895742956549598,1.8850172907070926
-0.38716644556639346,0.7811862342147252
-0.9705799717424051,1.958340454892708
-0.4279504438495163,0.7412319118690137
-1.1849023738380917,2.0523111134965455
-0.46562600308082336,0.6998594183309358
-1.4487213570546091,2.1775014272470727
-0.5001734297729976,0.6572202154525675
-1.7890482587802583,2.3507819730133113
-0.5316797174106493,0.6135911031114948
-2.2453424430012894,2.5912633138873704
-0.5600767493992006,0.5690345325501424
-2.85527674353455,2.9009436096059344
-0.5855093367243714,0.5238401957996504
-3.6136633620495817,3.2330519846538284
-0.6082196901797708,0.47830925111231165
-4.459676728364258,3.507128543497881
-0.6284055405760991,0.4326255818407651
-5.325037577863794,3.6660203191958987
-0.64620233515523,0.3868833882226507
-6.164465631244733,3.6906851310358366
-0.6617533472298581,0.34115756184284984
-6.951687316926002,3.5838438984314824
-0.6751933400155691,0.29549517321806296
-7.669928991223482,3.356708162701315
-0.686585822856059,0.24989680278877321
-8.306867504427148,3.0234525116046544
-0.6959753392673095,0.20435679804065002
-8.852631244402822,2.5993670655706094
-0.7034123135662962,0.15887267710495878
-9.299113329698375,2.100297365994783
-0.7089469495037076,0.11343953431162004
-9.639785713561505,1.542474797269025
-0.7126166492037393,0.06804663951837261
-9.869691044337085,0.9424412261517398
-0.7144455794374501,0.02267929989865784
-9.98548601297571,0.3169784213661808
-0.7144455794374501,-0.022679299898657985
-9.985486012975707,-0.31697842136618276
-0.7126166492037393,-0.06804663951837275
-9.869691044337085,-0.9424412261517416
-0.7089469495037077,-0.11343953431162021
-9.639785713561501,-1.5424747972690263
-0.7034123135662962,-0.1588726771049586
-9.299113329698374,-2.10029736599478
-0.6959753392673096,-0.20435679804065016
-8.852631244402822,-2.599367065570611
-0.686585822856059,-0.24989680278877305
-8.306867504427151,-3.023452511604653
-0.6751933400155684,-0.29549517321806273
-7.669928991223473,-3.3567081627013127
-0.6617533472298582,-0.3411575618428497
-6.95168731692599,-3.583843898431475
-0.6462023351552293,-0.38688338822265045
-6.164465631244738,-3.6906851310358415
-0.628405540576099,-0.4326255818407648
-5.325037577863805,-3.6660203191959044
-0.6082196901797707,-0.4783092511123118
-4.459676728364271,-3.507128543497893
-0.5855093367243714,-0.5238401957996501
-3.613663362049584,-3.2330519846538293
-0.5600767493992009,-0.5690345325501429
-2.8552767435345476,-2.9009436096059336
-0.5316797174106496,-0.6135911031114948
-2.2453424430012885,-2.591263313887368
-0.5001734297729975,-0.6572202154525677
-1.7890482587802556,-2.3507819730133086
-0.4656260030808239,-0.6998594183309362
-1.4487213570546111,-2.1775014272470745
-0.42795044384951564,-0.7412319118690137
-1.1849023738380882,-2.0523111134965424
-0.38716644556639324,-0.7811862342147251
-0.9705799717424048,-1.9583404548927086
-0.3433522418624963,-0.8197137574963348
-0.7895742956549598,-1.8850172907070926
-0.2960352320839106,-0.8553376302899452
-0.6321547479203964,-1.826491192472346
-0.245312202943699,-0.8873001062737883
-0.4919597430350156,-1.779430158953726
-0.19136366405257554,-0.9145562703635393
-0.3645747432872818,-1.7423585566273219
-0.13456915855502083,-0.9359490561191766
-0.24654738334371598,-1.7147747166365421
-0.07554811058035162,-0.9502906731200025
-0.13490599075230233,-1.6969306548517198
-0.01517970330797486,-0.9566259422646444
-0.026803894207555773,-1.6891832490028895
0.04546849807160736,-0.9545012406325187
0.08058908547332576,-1.691773102876328
0.10528777491100956,-0.9440701909409625
0.19010778041212728,-1.7046146972403395
0.16328958551738576,-0.9260612576776632
0.3045813170027549,-1.7273664857129463
0.2187227531602251,-0.9015874682220965
0.42690082113868083,-1.7597091521173733
0.27109137015807905,-0.8718356115301722
0.5602060165153141,-1.8016344626046559
0.32012939681478403,-0.8379370593479388
0.7084053235225911,-1.8542473122591157
0.3656808470313164,-0.8007293625339339
0.8765982737956156,-1.9194824740563972
0.40791856350266376,-0.7613449330666625
1.0726802737181438,-2.0020655205865285
0.44719482751267703,-0.7207406326587683
1.309217163136969,-2.110055726036562
0.4832759113876951,-0.6786660569436866
1.6071338042295107,-2.256903636610926
0.5163132982905626,-0.6355293726500382
1.9999108579133484,-2.4616876944556165
0.5462629855639447,-0.5914144345041183
2.529651568065081,-2.7387402975421593
0.5731480982053524,-0.5464956078036248
3.2188913230583966,-3.069206677221397
0.5971910515657735,-0.5011027911112129
4.030402476287652,-3.3819092313489665
0.6186181150093103,-0.4554788681385129
4.893347110582924,-3.6028951452603817
0.6375947450732231,-0.4097572619061504
5.749948720458095,-3.695267663357393
0.6542489726046862,-0.3640143523865907
6.5657934242408516,-3.653109353330684
0.6687318298542599,-0.31831774328932855
7.320272293991984,-3.484464852517564
0.6811428678982384,-0.2726884696632389
7.9992238506582405,-3.2024061516791202
0.6915279741510576,-0.22711968877058863
8.591690736461812,-2.821783353701472
0.6999345043000055,-0.1816079113076381
9.088726965127144,-2.3581988178063535
0.7064147631425027,-0.13615028599527237
9.483022807551041,-1.827702837925136
0.7110131080695394,-0.09073890535069527
9.768831631546961,-1.2466902209559878
0.7137601899383275,-0.0453607948963215
9.941996909302102,-0.6318324964322845
0.7146739200845174,-1.750446257331191e-16
9.999999999999863,-2.449293598294673e-15
